Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,177.54512,44.201519,52.901443,111.848244,118.630608,146.543518,112.673729,73.056519,93.528786,92.663002,106.686592,82.937134,30.234892,77.428558,88.788841,38.628365,47.619789,11.648185,20.0131,20.70756,89.188812,74.450363,114.057014,35.027874,181.85498
0.0,134.393936,36.722378,58.060577,138.92392,143.085968,125.96315,112.438896,80.644882,114.150826,110.375122,97.11644,82.7024,36.743084,96.046066,103.527077,35.050865,45.586174,14.261073,24.159969,24.586666,71.787697,65.917343,131.252853,42.440384,217.287476
0.0,101.179245,32.584496,76.664604,157.986481,169.948532,105.953514,106.995354,92.98996,127.571053,127.94648,96.27739,89.606659,49.04324,113.018654,117.242035,31.2099,42.397762,18.105371,26.955271,28.509949,62.286003,66.663971,147.840805,51.17746,242.318878
0.0,86.372566,32.843426,103.30809,163.523895,192.913834,89.338104,100.26413,103.970276,130.280136,142.125381,100.508942,102.872528,63.567791,125.165756,126.11351,28.746637,39.831448,22.197165,28.014904,31.629963,57.204304,78.596283,160.071716,59.790451,251.613815
0.0,91.219887,38.42696,129.014969,155.117188,207.057343,78.061356,97.215256,108.936523,122.467529,150.656189,105.461601,119.563805,76.812111,130.573593,128.199432,29.73288,39.264076,25.652491,27.671047,33.3946,56.01141,98.600189,163.823029,67.046783,244.487411
0.0,109.258522,50.253006,145.610519,137.894775,209.692245,72.72332,101.407318,106.476486,107.37767,152.578705,109.639297,136.3013,86.943451,128.727402,123.519791,35.120041,40.912857,28.127537,26.639465,33.608727,61.84885,119.402847,156.912308,71.785851,224.147644
0.0,130.187088,67.103951,149.466858,119.263283,200.574783,70.981972,112.429047,97.84256,89.790794,148.081085,112.645004,149.554642,93.140572,120.485733,113.738983,43.475109,43.769951,29.81473,25.648823,32.386841,77.382263,132.936264,140.066544,73.501694,195.882599
0.0,147.994629,87.906952,143.614853,104.970169,181.561401,69.840675,127.071938,85.876968,73.767921,137.851303,113.516068,157.40564,95.679131,107.601395,101.210854,51.532082,46.455631,31.015533,25.062639,30.045301,101.350349,136.949936,117.034004,72.191849,164.777969
0.0,161.280991,111.085747,136.104233,96.542778,155.915527,67.918968,140.448898,73.738632,61.126041,122.759354,111.040604,159.288452,95.285637,92.271721,87.804764,55.89732,47.71965,32.128983,24.738907,26.931755,130.809692,134.91597,93.396828,68.728271,134.133514
0.0,173.267548,133.289001,135.619827,91.230003,127.774132,67.746941,148.421188,63.850365,51.553204,104.194427,105.901398,155.993668,92.502815,76.548386,74.52729,55.174351,47.043232,33.200714,24.055868,23.366306,162.346878,132.721527,75.133514,64.188797,105.525223
0.0,186.27449,150.431046,146.742889,84.756493,101.278152,74.290977,149.804596,58.237633,43.814236,84.032928,99.080887,147.37442,87.362549,62.479786,61.861099,50.19492,44.796577,34.06509,22.44194,19.642559,192.92395,134.253433,65.237968,59.360085,80.097076
0.0,198.708069,159.255081,167.086884,74.784592,79.682701,91.154236,146.741058,57.860287,37.217728,64.23951,91.777756,134.322952,79.876534,51.806709,50.281876,43.917397,41.804649,34.083675,19.868217,15.991152,217.553909,139.706482,63.351303,55.132118,59.367874
