Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,39.916061,17.776783,2.366784,1.911678,0.618126,2.135618,3.032195,0.676348,1.372476,2.45445,2.180099,2.687354,0.597848,0.550499,0.46132,4.115913,7.039405,2.504647,11.36293,9.009953,36.575504,15.735843,2.978784,1.864299,0.371555
0.0,35.585209,14.958776,1.99938,2.171211,0.537799,2.382499,2.338449,0.656063,1.366612,2.758981,1.711194,2.183116,0.49748,0.583178,0.459846,4.430767,5.411295,2.488749,11.756348,8.424379,33.315891,13.048712,2.493128,2.048071,0.335694
0.0,28.074345,11.107928,1.511476,2.397772,0.46382,2.534717,1.734235,0.630416,1.467256,3.003262,1.44592,1.644744,0.4127,0.64299,0.438076,4.820322,4.174037,2.707513,11.574839,7.628071,27.115425,9.609577,1.819032,2.211375,0.311885
0.0,19.513382,7.236525,1.088773,2.502332,0.406159,2.543983,1.290864,0.639103,1.699597,3.178738,1.354154,1.183533,0.350897,0.716156,0.396867,5.308504,3.548354,3.148892,10.837174,6.864265,19.731983,6.240528,1.20312,2.292214,0.297452
0.0,12.248567,4.159728,0.901098,2.467005,0.375095,2.397596,1.001202,0.750091,2.114859,3.302191,1.353196,0.871096,0.333875,0.798175,0.345357,5.83521,3.523605,3.681761,9.719423,6.349373,13.211063,3.592218,0.866992,2.270556,0.292356
0.0,7.259284,2.265093,1.008494,2.336861,0.374107,2.086791,0.822991,1.00795,2.729878,3.40277,1.339463,0.749431,0.385595,0.895599,0.297142,6.21698,3.954181,4.141503,8.447016,6.209814,8.523954,1.998867,0.894996,2.174939,0.298325
0.0,4.607377,1.418346,1.337225,2.18451,0.399621,1.682856,0.707412,1.40317,3.466233,3.501447,1.245788,0.82496,0.509977,1.011141,0.266065,6.221523,4.613375,4.52705,7.217352,6.475667,5.843765,1.356661,1.220253,2.057829,0.317332
0.0,3.282613,1.175864,1.735679,2.06166,0.443362,1.282878,0.632994,1.87172,4.15254,3.596931,1.071664,1.067198,0.687951,1.133108,0.261551,5.718868,5.241067,4.968612,6.202155,7.08564,4.310782,1.271389,1.674685,1.956753,0.350093
0.0,2.611007,1.118098,2.041193,1.965498,0.493803,0.986677,0.597802,2.299397,4.575845,3.67183,0.864696,1.395364,0.867973,1.229151,0.284689,4.832901,5.641217,5.614839,5.457719,7.941325,3.412562,1.337961,2.068566,1.86278,0.39264
0.0,2.422096,1.121301,2.173692,1.852457,0.538948,0.844437,0.607929,2.564111,4.571715,3.693137,0.700581,1.72235,0.989358,1.263535,0.325986,3.93001,5.801821,6.448612,5.027914,8.892299,3.031846,1.408367,2.286041,1.738116,0.435657
0.0,2.564617,1.146915,2.124255,1.682337,0.57082,0.847676,0.650216,2.587058,4.113844,3.636163,0.637721,1.964634,1.02112,1.220215,0.370707,3.445907,5.89591,7.211288,5.03321,9.791386,3.04159,1.446497,2.305635,1.556446,0.469861
0.0,2.900946,1.169922,1.956809,1.451679,0.585406,0.969098,0.708795,2.379437,3.334216,3.513666,0.685202,2.069386,0.979173,1.111735,0.408045,3.595598,6.151443,7.571632,5.585348,10.546147,3.286384,1.448238,2.200357,1.327319,0.488485
0.0,3.318544,1.189056,1.767612,1.196612,0.584957,1.202591,0.76424,2.036283,2.472817,3.369175,0.839423,2.038292,0.908917,0.972492,0.432991,4.45673,6.677111,7.275059,6.643956,11.095492,3.637113,1.450541,2.077412,1.095246,0.492047
0.0,3.647962,1.232647,1.632479,0.959821,0.576458,1.515433,0.810139,1.689857,1.766092,3.237314,1.062699,1.9242,0.866223,0.839852,0.44413,5.708395,7.359272,6.297289,7.95748,11.419171,3.940731,1.527029,2.020473,0.905287,0.488479
0.0,3.73364,1.322637,1.576973,0.76852,0.565726,1.853524,0.842506,1.444207,1.35419,3.119724,1.364725,1.794183,0.886172,0.733906,0.443349,6.937802,7.952445,4.926485,9.118569,11.533521,4.056025,1.731301,2.032701,0.776328,0.486735
0.0,3.537202,1.466521,1.56267,0.632244,0.554942,2.162717,0.854519,1.325323,1.222443,2.982435,1.764594,1.69289,0.968006,0.65498,0.433534,7.672366,8.159256,3.621716,9.719997,11.448592,3.929574,2.069667,2.041927,0.703504,0.491671
0.0,3.095078,1.633697,1.522073,0.54868,0.543523,2.38568,0.836604,1.289927,1.250758,2.783257,2.239127,1.62263,1.072827,0.590049,0.416968,7.697465,7.837363,2.84045,9.577366,11.166616,3.565065,2.486028,1.951179,0.666487,0.501831
0.0,2.533693,1.785724,1.40622,0.509612,0.529967,2.438886,0.786044,1.272784,1.312684,2.509702,2.695529,1.546124,1.145159,0.529996,0.396544,6.953245,7.059272,2.764422,8.833961,10.740989,3.057728,2.889544,1.709605,0.642344,0.511436
0.0,2.006407,1.90939,1.219906,0.510416,0.51278,2.335959,0.715527,1.236095,1.334046,2.198026,3.026251,1.420811,1.140866,0.484034,0.375957,5.73869,6.019345,3.251083,7.973148,10.252561,2.567834,3.195605,1.34566,0.621943,0.513521
0.0,1.653397,1.985577,1.014653,0.551054,0.494079,2.061739,0.641987,1.157894,1.3182,1.917175,3.124483,1.237403,1.048798,0.479579,0.359717,4.398197,4.923432,3.937993,7.554706,9.729527,2.169791,3.33172,0.958465,0.616902,0.505291
