Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,15.037535,3.264751,5.527606,2.220069,0.449631,5.655799,1.696389,1.299318,0.74785,0.237457,0.725047,0.918288,1.352135,1.117213,0.567321,5.361616,1.550942,3.416099,1.674853,0.837529,6.559098,2.302451,4.412226,1.891558,0.426737
0.0,17.10177,3.846838,4.904165,1.932901,0.474929,5.518888,1.997308,1.001001,0.618174,0.25461,0.656029,1.595723,1.335886,1.022227,0.579589,4.966994,1.826463,3.282468,1.67208,0.848876,7.169908,2.637954,3.878741,1.65682,0.479183
0.0,18.19326,4.140787,3.990228,1.611893,0.492856,5.011922,2.435185,0.77872,0.50647,0.281091,0.898761,2.648592,1.249055,0.908708,0.578967,4.17739,2.200174,2.906585,1.576778,0.837001,7.695051,2.820429,3.104351,1.41683,0.525704
0.0,18.374077,4.113279,3.085334,1.342652,0.507474,4.280084,3.045417,0.729953,0.432153,0.326332,1.452818,3.943498,1.153201,0.807957,0.579503,3.456944,2.621692,2.433471,1.410742,0.808211,8.301782,2.857247,2.331822,1.220999,0.565839
0.0,17.418758,3.795747,2.436049,1.184313,0.529211,3.601191,3.742631,0.8723,0.401724,0.39909,2.200791,5.203482,1.111554,0.748797,0.603674,2.997058,2.975028,2.052718,1.231275,0.786265,8.583909,2.77526,1.772168,1.110581,0.609801
0.0,15.961003,3.31233,2.165254,1.152628,0.576093,3.231369,4.350519,1.181469,0.408951,0.503857,3.117254,6.104077,1.182407,0.744014,0.669952,3.0819,3.124046,1.92842,1.104634,0.793011,8.767477,2.62306,1.547943,1.105106,0.675415
0.0,13.493847,2.790294,2.246443,1.235976,0.661933,3.133281,4.673391,1.614457,0.453968,0.6349,3.891879,6.375124,1.409002,0.795298,0.781631,3.328734,2.973523,2.149309,1.083774,0.835113,8.22273,2.429293,1.671861,1.214258,0.774469
0.0,10.827897,2.344524,2.567231,1.402994,0.785139,3.372255,4.60182,2.099972,0.547973,0.773187,4.494785,5.958339,1.792479,0.896959,0.920209,3.639758,2.549129,2.70061,1.216743,0.903296,7.410793,2.23352,2.076813,1.426199,0.901071
0.0,7.782803,2.046252,2.997248,1.607601,0.926304,3.90095,4.172768,2.559423,0.702211,0.894143,4.70413,4.989771,2.264421,1.04065,1.05114,3.665119,1.973873,3.463463,1.52778,0.981318,6.349954,2.059249,2.657116,1.698373,1.032182
0.0,5.359881,1.918968,3.401279,1.809564,1.05769,4.961617,3.555354,2.946026,0.913536,0.980907,4.588918,3.751025,2.694783,1.212211,1.1401,3.467005,1.415493,4.215637,1.984766,1.055077,5.77904,1.930795,3.272768,1.971301,1.141008
0.0,3.997703,1.963685,3.657843,1.953734,1.158919,6.645863,2.93306,3.241611,1.142315,1.038069,4.116549,2.555705,2.958583,1.374813,1.17272,3.137108,1.010686,4.727047,2.471263,1.120248,6.069052,1.885604,3.767874,2.163168,1.213033
0.0,3.919611,2.174937,3.671236,1.98315,1.238942,9.064865,2.483526,3.468575,1.323195,1.105253,3.464932,1.630632,2.973094,1.479335,1.172354,2.895659,0.802326,4.82242,2.836315,1.194465,7.429957,1.962855,3.998814,2.203168,1.267028
0.0,5.02321,2.474145,3.404638,1.873655,1.338631,12.217363,2.262852,3.676114,1.400928,1.246081,2.727477,1.052769,2.736531,1.491892,1.195428,2.84896,0.742604,4.450638,2.959766,1.312132,9.270139,2.151103,3.898561,2.076538,1.353009
0.0,6.15954,2.662061,2.919193,1.65438,1.504757,15.552276,2.172816,3.921844,1.354156,1.506088,2.015619,0.773961,2.31931,1.416382,1.29632,3.002836,0.747976,3.716501,2.803365,1.499694,10.532763,2.347532,3.512995,1.843851,1.5186
0.0,6.467052,2.628997,2.350693,1.401022,1.760798,18.359913,2.119556,4.219718,1.217304,1.886951,1.413071,0.660233,1.821747,1.293269,1.50008,3.15831,0.761857,2.846916,2.424253,1.756064,10.518348,2.592863,3.013924,1.631861,1.77487
0.0,6.254838,2.461636,1.873036,1.19403,2.082741,19.317465,2.093917,4.510109,1.076916,2.33724,1.012499,0.625185,1.365851,1.179307,1.788004,3.197439,0.794975,2.082403,1.948538,2.042684,10.35943,3.10154,2.649047,1.553303,2.079969
0.0,6.140912,2.358459,1.622387,1.08127,2.403886,19.624741,2.214768,4.671873,1.023132,2.764668,1.162419,0.689827,1.059924,1.122642,2.10345,3.068326,0.899955,1.591184,1.526459,2.293145,10.893817,4.081194,2.606378,1.646238,2.353213
0.0,6.575405,2.482234,1.648652,1.072451,2.683532,18.972912,2.635895,4.561204,1.097085,3.086606,1.700325,0.911638,0.973829,1.15612,2.385779,3.034921,1.223527,1.515457,1.309891,2.466089,12.547152,5.499148,2.906334,1.868549,2.539276
0.0,8.599285,2.853587,1.873084,1.145099,2.976477,20.972866,3.467073,4.185098,1.280473,3.288565,3.329617,1.284813,1.122749,1.309049,2.60583,4.272621,1.980855,1.985775,1.432278,2.652562,15.199666,7.020095,3.372529,2.131984,2.680363
0.0,10.81976,3.376886,2.183804,1.256391,3.397628,24.16152,4.580255,3.656999,1.513957,3.426982,5.740704,1.753293,1.502808,1.58721,2.774306,8.274844,3.291614,3.098844,1.933182,3.085601,17.505939,8.147758,3.761981,2.350946,2.893697
0.0,13.655388,3.933854,2.473927,1.364729,4.011352,30.567383,5.68182,3.165092,1.733545,3.578683,9.685122,2.187511,2.065124,1.966952,2.921222,16.694258,5.037921,4.807496,2.733568,3.993318,18.692654,8.458143,3.876682,2.466427,3.271838
0.0,14.350156,4.430355,2.650342,1.451875,4.741976,36.329708,6.41182,2.808918,1.900255,3.782144,13.344462,2.479407,2.738217,2.400901,3.062502,27.699585,6.880155,6.872302,3.653102,5.418867,17.526009,7.822486,3.639183,2.476179,3.792761
0.0,13.710133,4.858956,2.69404,1.520492,5.377391,40.670147,6.510871,2.613042,2.007721,4.016785,16.924955,2.558237,3.366631,2.816177,3.182564,40.012608,8.36443,8.837833,4.475667,7.130049,14.366498,6.523811,3.157072,2.417765,4.311971
0.0,11.510366,5.257782,2.700035,1.636879,5.670298,40.495804,5.950639,2.486391,2.056063,4.218133,18.503136,2.469782,3.818232,3.130708,3.25257,48.364792,9.060494,10.224269,4.991107,8.694792,10.846685,5.157054,2.673548,2.380622,4.646358
0.0,9.780597,5.592771,2.828738,1.907726,5.480228,35.999016,4.897822,2.319428,2.076098,4.32079,18.746128,2.295992,4.009998,3.300649,3.26273,51.495491,8.702863,10.679718,5.055212,9.689585,8.324956,4.277982,2.457022,2.494927,4.689376
0.0,9.979845,5.898309,3.205114,2.401594,4.862036,28.077639,3.626865,2.047655,2.137839,4.320494,17.223717,2.164168,3.927146,3.345665,3.227668,47.310677,7.44391,10.129395,4.706277,9.89113,8.5008,4.238702,2.647589,2.885749,4.479308
0.0,12.569913,6.170238,3.847589,3.093555,4.038874,19.146807,2.422108,1.729454,2.310587,4.281361,15.024767,2.188812,3.61711,3.361173,3.172004,38.949726,5.694671,8.842199,4.20998,9.345089,10.806886,4.995463,3.201156,3.612369,4.168937
0.0,17.302357,6.423162,4.663813,3.858054,3.285711,12.034012,1.507744,1.518859,2.61346,4.281623,12.684333,2.434733,3.187675,3.471314,3.1167,28.79604,3.960913,7.302647,3.915476,8.310285,14.60013,6.214398,3.948226,4.596327,3.926334
0.0,22.376385,6.639866,5.407878,4.514264,2.787628,7.606027,0.99328,1.51999,2.983668,4.346373,10.62879,2.844268,2.747967,3.753563,3.075368,20.673893,2.584412,5.934129,4.082915,7.108341,18.097914,7.444434,4.596804,5.62819,3.825524
0.0,26.863283,7.054526,5.920887,4.952953,2.597392,5.834917,0.958545,1.775472,3.34304,4.457802,9.417362,3.427961,2.501772,4.260319,3.090968,16.15649,1.871877,5.179862,4.847474,6.028862,20.965004,8.593625,5.01736,6.488713,3.848024
0.0,31.361107,8.250052,6.427414,5.239313,2.689477,6.158211,1.545604,2.312851,3.692142,4.620175,10.348377,4.449274,2.792539,5.074911,3.267963,15.819419,2.218978,5.561835,6.251918,5.323036,24.132959,9.97168,5.457169,7.081625,3.970711
0.0,37.571747,10.735034,7.323976,5.545551,3.000008,7.988564,2.895922,3.072973,4.071307,4.855995,14.37172,6.235158,3.866882,6.234296,3.708279,18.699234,3.769807,7.307464,8.16395,5.137323,29.307144,12.007135,6.326522,7.442318,4.188717
0.0,46.274876,14.414738,8.839121,6.002626,3.461251,11.547282,4.870426,3.924923,4.495144,5.172445,21.906843,8.829503,5.663629,7.630643,4.414816,23.15954,6.287219,10.18073,10.257568,5.484085,37.024403,14.749836,7.830575,7.663955,4.507852
0.0,56.313564,18.438709,10.786755,6.570521,3.980031,15.614882,7.059351,4.704865,4.921212,5.520387,30.890518,11.851752,7.762793,8.960567,5.236416,27.604792,9.292567,13.495773,12.061715,6.222189,46.059608,17.666979,9.774535,7.791322,4.896885
0.0,64.674149,21.516006,12.561179,7.001546,4.399481,19.622356,8.806764,5.202841,5.219327,5.776639,38.980331,14.438081,9.498787,9.795521,5.890299,30.618237,11.856901,16.220297,13.043376,7.041647,53.629021,19.802155,11.564518,7.747282,5.225388
